date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
2022-02-07,136948.42857142858,38,372.09391863633425,182052,489.2635726678683,479531
2022-02-08,136948.42857142858,39,344.04519295752584,166065,482.6836805143259,443384
2022-02-09,136948.42857142858,40,318.3085435266629,152462,478.9755195095136,410216
2022-02-10,136948.42857142858,41,295.7041503693209,141394,478.16034987471556,381085
2022-02-11,136948.42857142858,42,276.30932573454106,131957,477.5698382571972,356090
2022-02-12,136948.42857142858,43,259.70910805684065,122969,473.48743723337833,334697
2022-02-13,136948.42857142858,44,245.39976921270915,113794,463.7086675552858,316256
2022-02-14,80849.57142857143,45,233.14778629263444,104636,448.7968840015773,300466
2022-02-15,80849.57142857143,46,223.1207115476887,96225,431.2687931681921,287544
2022-02-16,80849.57142857143,47,215.72668177833185,89184,413.4120047868732,278015
2022-02-17,80849.57142857143,48,211.27232348395404,83600,395.6978302761429,272275
2022-02-18,80849.57142857143,49,209.65940916204568,79028,376.9351459867908,270196
2022-02-19,80849.57142857143,50,210.30230259290954,74865,355.9875430604254,271025
2022-02-20,80849.57142857143,51,212.29391574993343,70746,333.24553720763987,273591
2022-02-21,56221.28571428572,52,214.70220648062553,66706,310.69079863424446,276695
2022-02-22,56221.28571428572,53,216.8373009081418,63047,290.757170172988,279446
2022-02-23,56221.28571428572,54,218.38435712776408,60057,275.0059610032605,281440
2022-02-24,56221.28571428572,55,219.38151330848143,57809,263.50898545727676,282725
2022-02-25,56221.28571428572,56,220.08412145436455,56145,255.10700012786666,283631
2022-02-26,56221.28571428572,57,220.78570362368447,54819,248.29053285730666,284535
2022-02-27,56221.28571428572,58,221.66920157261706,53648,242.01828499132003,285673
2022-02-28,49754.857142857145,59,222.74106913313912,52595,236.12618995090827,287055
2022-03-01,49754.857142857145,60,223.85864568223676,51747,231.15926500088773,288495
2022-03-02,49754.857142857145,61,224.8157616550363,51242,227.9288588254198,289729
2022-03-03,49754.857142857145,62,225.43043453545656,51206,227.1476790856566,290521
