country,code,date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
Spain,ESP,2022-02-07,55020.71519999999,38,209.75119429922836,64434,307.1925297744874,415901
Spain,ESP,2022-02-08,55020.71519999999,39,221.0749606327458,59982,271.3197362031574,438354
Spain,ESP,2022-02-09,55020.71519999999,40,235.19438711050992,56312,239.42748248299347,466350
Spain,ESP,2022-02-10,55020.71519999999,41,252.85948276009475,53117,210.0652877250238,501377
Spain,ESP,2022-02-11,55020.71519999999,42,273.95809121762113,50005,182.5279179663946,543212
Spain,ESP,2022-02-12,55020.71519999999,43,297.14426271893706,46779,157.42858223800653,589186
Spain,ESP,2022-02-13,35115.4032,44,319.8177271418839,43529,136.1056511438742,634144
Spain,ESP,2022-02-14,35115.4032,45,338.56031851796035,40510,119.65371540684848,671307
Spain,ESP,2022-02-15,35115.4032,46,349.9742412439774,37927,108.37083285098106,693939
Spain,ESP,2022-02-16,35115.4032,47,351.6892223967656,35778,101.73186359301137,697340
Spain,ESP,2022-02-17,35115.4032,48,343.1817124454632,33872,98.69989795969323,680471
Spain,ESP,2022-02-18,35115.4032,49,326.0633724088968,31983,98.0882941978899,646528
Spain,ESP,2022-02-19,35115.4032,50,303.69174658608,30004,98.79754829456817,602169
Spain,ESP,2022-02-20,22785.03504,51,280.2653637208949,28004,99.91958916438945,555718
Spain,ESP,2022-02-21,22785.03504,52,259.80840270671945,26155,100.67033909416953,515156
Spain,ESP,2022-02-22,22785.03504,53,245.45458338458099,24598,100.2140585880182,486694
Spain,ESP,2022-02-23,22785.03504,54,239.1963929843153,23349,97.61434822945282,474286
Spain,ESP,2022-02-24,22785.03504,55,241.9561590006608,22308,92.19852097230175,479758
Spain,ESP,2022-02-25,22785.03504,56,253.69148258419628,21340,84.1179206436999,503027
Spain,ESP,2022-02-26,22785.03504,57,273.36226955022835,20370,74.51650161346484,542031
Spain,ESP,2022-02-27,16909.74336,58,298.8450239604681,19412,64.95674494673153,592559
Spain,ESP,2022-02-28,16909.74336,59,327.05683484920564,18547,56.708798055088394,648498
Spain,ESP,2022-03-01,16909.74336,60,354.48932608964657,17849,50.35130450017042,702892
Spain,ESP,2022-03-02,16909.74336,61,378.08442415125387,17340,45.86277268344458,749677
Spain,ESP,2022-03-03,16909.74336,62,396.10590981421205,16989,42.89004425096422,785410
Spain,ESP,2022-03-04,16909.74336,63,408.5808845152236,16739,40.968632244899624,810146
Spain,ESP,2022-03-05,16909.74336,64,417.0654304080813,16540,39.65804594213501,826969
Spain,ESP,2022-03-06,15955.187999999998,65,423.8125757817553,16369,38.623205009445755,840348
Spain,ESP,2022-03-07,15955.187999999998,66,430.69678959017904,16224,37.66919185870325,853998
Spain,ESP,2022-03-08,15955.187999999998,67,438.3450402877718,16111,36.75415145435019,869163
Spain,ESP,2022-03-09,15955.187999999998,68,445.8234906980118,16030,35.95593398387854,883992
Spain,ESP,2022-03-10,15955.187999999998,69,450.99818380588005,15978,35.42808058596816,894252
Spain,ESP,2022-03-11,15955.187999999998,70,451.419989368189,15945,35.32187403202226,895089
Spain,ESP,2022-03-12,15955.187999999998,71,445.3687717501193,15922,35.750149112235626,883090
Spain,ESP,2022-03-13,15859.416,72,432.6136132240025,15908,36.77184331174298,857799
Spain,ESP,2022-03-14,15859.416,73,414.5604000458393,15906,38.36835355774749,822002
Spain,ESP,2022-03-15,15859.416,74,393.73836447440954,15922,40.43802036221143,780716
Spain,ESP,2022-03-16,15859.416,75,372.8888414955004,15969,42.825094835112395,739375
Spain,ESP,2022-03-17,15859.416,76,354.08670027265987,16055,45.34200236167316,702093
Spain,ESP,2022-03-18,15859.416,77,338.2584072895992,16185,47.848034671739136,670709
Spain,ESP,2022-03-19,15859.416,78,325.2271203365133,16350,50.27256024369252,644870
Spain,ESP,2022-03-20,17013.68544,79,314.1718530192836,16529,52.61133306867392,622949
Spain,ESP,2022-03-21,17013.68544,80,304.2514907251674,16701,54.89208930478548,603279
Spain,ESP,2022-03-22,17013.68544,81,295.1297756887243,16849,57.09013928086596,585192
Spain,ESP,2022-03-23,17013.68544,82,287.2031935088395,16972,59.094050426976324,569475
Spain,ESP,2022-03-24,17013.68544,83,281.451177085207,17079,60.681927774739684,558070
Spain,ESP,2022-03-25,17013.68544,84,278.98065091501763,17181,61.5849161712424,553171
Spain,ESP,2022-03-26,17013.68544,85,280.4751153513611,17279,61.606178424613475,556134
Spain,ESP,2022-03-27,17692.2552,86,285.80103745482785,17356,60.7275612242772,566695
Spain,ESP,2022-03-28,17692.2552,87,293.9312732718146,17368,59.0886427520043,582815
Spain,ESP,2022-03-29,17692.2552,88,303.17522431819066,17252,56.90438603219621,601145
Spain,ESP,2022-03-30,17692.2552,89,311.5740528361519,16928,54.330583198152134,617798
Spain,ESP,2022-03-31,17692.2552,90,317.2968071388573,16323,51.443946591169556,629145
Spain,ESP,2022-04-01,17692.2552,91,318.9355787341203,15417,48.338915530187165,632395
Spain,ESP,2022-04-02,17692.2552,92,315.6733689446652,14272,45.21128927572524,625926
Spain,ESP,2022-04-03,9614.23104,93,307.3414199409293,13035,42.41211614921709,609405
Spain,ESP,2022-04-04,9614.23104,94,294.39331628730514,11891,40.3915420022488,583732
Spain,ESP,2022-04-05,9614.23104,95,277.81778943961785,10986,39.543904017664595,550865
Spain,ESP,2022-04-06,9614.23104,96,259.00058142989155,10384,40.09257408872199,513554
Spain,ESP,2022-04-07,9614.23104,97,239.5358907943799,10064,42.01458064018908,474959
Spain,ESP,2022-04-08,9614.23104,98,220.99379958697202,9954,45.041987687453684,438193
Spain,ESP,2022-04-09,9614.23104,99,204.67841590715355,9974,48.73010158787049,405842
Spain,ESP,2022-04-10,10351.008,100,191.44380141597577,10056,52.527164241530976,379600
Spain,ESP,2022-04-11,10351.008,101,181.63628767076003,10153,55.89742077532252,360154
Spain,ESP,2022-04-12,10351.008,102,175.18585427139135,10241,58.45791626608749,347364
Spain,ESP,2022-04-13,10351.008,103,171.79968940386448,10311,60.017570670695655,340649
Spain,ESP,2022-04-14,10351.008,104,171.1651222382992,10368,60.57308793064443,339391
Spain,ESP,2022-04-15,10351.008,105,173.07769416680935,10419,60.198398471603994,343183
Spain,ESP,2022-04-16,10351.008,106,177.46452251693256,10473,59.01461233752077,351882
Spain,ESP,2022-04-17,10631.438880000002,107,184.33561887099063,10535,57.15119012008764,365506
Spain,ESP,2022-04-18,10631.438880000002,108,193.7284195015451,10619,54.81384727817545,384130
Spain,ESP,2022-04-19,10631.438880000002,109,205.69770135587373,10749,52.25629615278664,407863
Spain,ESP,2022-04-20,10631.438880000002,110,220.35720211012324,10960,49.737425847886534,436931
Spain,ESP,2022-04-21,10631.438880000002,111,237.93412109043544,11293,47.462717613787255,471783
Spain,ESP,2022-04-22,10631.438880000002,112,258.78751006313934,11763,45.45428022059506,513131
Spain,ESP,2022-04-23,10631.438880000002,113,283.37560097266135,12346,43.56761823397449,561885
Spain,ESP,2022-04-24,14678.1936,114,312.20565630557905,12979,41.571956618545315,619050
Spain,ESP,2022-04-25,14678.1936,115,345.81364294563565,13583,39.278380934598765,685689
Spain,ESP,2022-04-26,14678.1936,116,384.7777707091286,14103,36.65232524739874,762948
Spain,ESP,2022-04-27,14678.1936,117,429.70513334194004,14533,33.82086661840107,852032
Spain,ESP,2022-04-28,14678.1936,118,481.1117116199441,14911,30.99280196234133,953962
Spain,ESP,2022-04-29,14678.1936,119,539.1785568394698,15281,28.34126061980916,1069099
Spain,ESP,2022-04-30,14678.1936,120,603.4770051126225,15666,25.95956410481021,1196592
Spain,ESP,2022-05-01,17067.1632,121,672.8329801775074,16050,23.854359808233056,1334113
Spain,ESP,2022-05-02,17067.1632,122,745.4756977525196,16399,21.9980343416159,1478151
Spain,ESP,2022-05-03,17067.1632,123,819.4753980220845,16679,20.35326507697124,1624879
Spain,ESP,2022-05-04,17067.1632,124,893.2746199262787,16878,18.89452540518047,1771211
Spain,ESP,2022-05-05,17067.1632,125,965.9753114638818,17008,17.607075251463026,1915364
Spain,ESP,2022-05-06,17067.1632,126,1037.0899155248503,17091,16.479766840033914,2056372
Spain,ESP,2022-05-07,17067.1632,127,1105.7475089336015,17149,15.508965529154787,2192508
Spain,ESP,2022-05-08,17291.53728,128,1169.7468715167988,17194,14.69890659139333,2319408
Spain,ESP,2022-05-09,17291.53728,129,1225.099936524994,17233,14.066607536428045,2429163
Spain,ESP,2022-05-10,17291.53728,130,1266.5674940435829,17269,13.63448855367969,2511387
Spain,ESP,2022-05-11,17291.53728,131,1289.1521544698876,17303,13.421999831443612,2556168
Spain,ESP,2022-05-12,17291.53728,132,1289.890472658814,17342,13.44455236129734,2557632
Spain,ESP,2022-05-13,17291.53728,133,1269.0080492881195,17388,13.70204074730197,2516226
Spain,ESP,2022-05-14,17291.53728,134,1229.795455302847,17437,14.178780645848134,2438474
Spain,ESP,2022-05-15,17652.97104,135,1177.2633507807777,17480,14.84799470603329,2334312
Spain,ESP,2022-05-16,17652.97104,136,1116.3025038943917,17498,15.674962601047257,2213437
Spain,ESP,2022-05-17,17652.97104,137,1050.309719883483,17460,16.623667923340687,2082584
Spain,ESP,2022-05-18,17652.97104,138,980.9295868369002,17335,17.67201258134984,1945015
Spain,ESP,2022-05-19,17652.97104,139,908.8996795331487,17093,18.806255943207862,1802192
Spain,ESP,2022-05-20,17652.97104,140,835.3480886963239,16726,20.022790769897174,1656352
Spain,ESP,2022-05-21,17652.97104,141,762.6509368645004,16258,21.317747365317334,1512206
Spain,ESP,2022-05-22,14374.9656,142,694.2841407796199,15743,22.67515427087532,1376647
Spain,ESP,2022-05-23,14374.9656,143,633.80262931143,15243,24.050073784894455,1256722
Spain,ESP,2022-05-24,14374.9656,144,583.6571363583357,14795,25.348786262276803,1157292
Spain,ESP,2022-05-25,14374.9656,145,544.5882817037996,14393,26.429140111076283,1079825
Spain,ESP,2022-05-26,14374.9656,146,515.8406749762717,13997,27.134347249068433,1022824
Spain,ESP,2022-05-27,14374.9656,147,495.859833356589,13568,27.36257120919655,983205
Spain,ESP,2022-05-28,14374.9656,148,482.9158373416775,13094,27.114455537592153,957539
Spain,ESP,2022-05-29,11302.9824,149,475.31345826100323,12608,26.525653294413388,942465
Spain,ESP,2022-05-30,11302.9824,150,471.2338660710576,12163,25.81096325145259,934376
Spain,ESP,2022-05-31,11302.9824,151,468.5091517083266,11807,25.201215295257505,928973
Spain,ESP,2022-06-01,11302.9824,152,464.6432602778663,11556,24.8706932563474,921308
Spain,ESP,2022-06-02,11302.9824,153,457.2160821327461,11398,24.929131860000396,906581
Spain,ESP,2022-06-03,11302.9824,154,444.5545000955723,11305,25.429952902444136,881475
Spain,ESP,2022-06-04,11302.9824,155,426.3464850327423,11247,26.379952444398036,845372
Spain,ESP,2022-06-05,11127.9288,156,403.8345642460491,11209,27.756415602827296,800735
Spain,ESP,2022-06-06,11127.9288,157,379.41710866908664,11183,29.474158503889168,752319
Spain,ESP,2022-06-07,11127.9288,158,355.82104554696184,11169,31.389374349207507,705532
Spain,ESP,2022-06-08,11127.9288,159,335.26036145877197,11168,33.31142384803926,664764
Spain,ESP,2022-06-09,11127.9288,160,318.9718440468895,11182,35.05638572398956,632467
Spain,ESP,2022-06-10,11127.9288,161,307.2496055353091,11211,36.488248635722435,609223
