country,code,date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
Spain,ESP,2022-02-06,1146.2649,37,230.15325433025396,1451,6.304494821167793,9912
Spain,ESP,2022-02-07,1146.2649,38,243.9965261636843,1342,5.500078304802272,10508
Spain,ESP,2022-02-08,1146.2649,39,258.31755834897416,1250,4.839005168635545,11125
Spain,ESP,2022-02-09,1146.2649,40,274.20052022683626,1173,4.2778912273019,11809
Spain,ESP,2022-02-10,1146.2649,41,292.52636199108474,1107,3.7842743213472767,12598
Spain,ESP,2022-02-11,1146.2649,42,313.15244770962374,1042,3.3274528352600115,13486
Spain,ESP,2022-02-12,1146.2649,43,334.27253874082567,975,2.9167816287653676,14396
Spain,ESP,2022-02-13,731.5709,44,352.45433658659124,907,2.5733830055377047,15179
Spain,ESP,2022-02-14,731.5709,45,363.58729892898293,844,2.321313210021819,15658
Spain,ESP,2022-02-15,731.5709,46,364.43168428497813,790,2.1677588257727782,15694
Spain,ESP,2022-02-16,731.5709,47,354.00737896213525,745,2.104475907208944,15245
Spain,ESP,2022-02-17,731.5709,48,334.0869988689232,706,2.1132220122010623,14388
Spain,ESP,2022-02-18,731.5709,49,308.58561970915684,666,2.158234076583697,13289
Spain,ESP,2022-02-19,731.5709,50,282.2732045740012,625,2.214166948447099,12156
Spain,ESP,2022-02-20,474.68823,51,259.52012628175504,583,2.2464539007161637,11176
Spain,ESP,2022-02-21,474.68823,52,243.58829468067034,545,2.237381729341561,10490
Spain,ESP,2022-02-22,474.68823,53,236.5277013334692,512,2.164651316160873,10186
Spain,ESP,2022-02-23,474.68823,54,239.36968684919697,486,2.0303322713797938,10309
Spain,ESP,2022-02-24,474.68823,55,252.23267733921193,465,1.8435359165404672,10862
Spain,ESP,2022-02-25,474.68823,56,274.1715910375183,445,1.6230711515953713,11807
Spain,ESP,2022-02-26,474.68823,57,302.93440654917856,424,1.3996429287446013,13046
Spain,ESP,2022-02-27,352.28632,58,334.9912672338785,404,1.2060015872531453,14426
Spain,ESP,2022-02-28,352.28632,59,366.1039960670811,386,1.054345224708428,15766
Spain,ESP,2022-03-01,352.28632,60,392.3558897532572,372,0.9481188118112398,16897
Spain,ESP,2022-03-02,352.28632,61,411.21859289546984,361,0.8778785936164243,17709
Spain,ESP,2022-03-03,352.28632,62,422.15462827244994,354,0.8385552977321278,18180
Spain,ESP,2022-03-04,352.28632,63,426.48783262418374,349,0.8183117390538427,18367
Spain,ESP,2022-03-05,352.28632,64,426.63775888786785,345,0.8086485380462434,18373
Spain,ESP,2022-03-06,332.39975,65,425.07833775739323,341,0.8022050754198168,18306
Spain,ESP,2022-03-07,332.39975,66,423.43972817467863,338,0.7982245819423142,18236
Spain,ESP,2022-03-08,332.39975,67,422.0603185325734,336,0.7960947410744763,18176
Spain,ESP,2022-03-09,332.39975,68,420.10165115875805,334,0.7950456730620659,18092
Spain,ESP,2022-03-10,332.39975,69,416.13387903800873,333,0.8002232376989054,17921
Spain,ESP,2022-03-11,332.39975,70,408.93096669146723,332,0.8118729737835908,17611
Spain,ESP,2022-03-12,332.39975,71,398.1314526233061,332,0.8338954328085285,17146
Spain,ESP,2022-03-13,330.4045,72,384.4731194139683,331,0.8609184447134445,16557
Spain,ESP,2022-03-14,330.4045,73,369.5082653980742,331,0.8957851041394462,15913
Spain,ESP,2022-03-15,330.4045,74,354.9674760569063,332,0.9352969564647542,15287
Spain,ESP,2022-03-16,330.4045,75,342.1102690730454,333,0.9733703723722475,14733
Spain,ESP,2022-03-17,330.4045,76,331.37276988090514,334,1.0079283222940711,14271
Spain,ESP,2022-03-18,330.4045,77,322.43346077488593,337,1.045176884527143,13886
Spain,ESP,2022-03-19,330.4045,78,314.6131347486061,341,1.0838708316246188,13549
Spain,ESP,2022-03-20,354.45178,79,307.4166841048476,344,1.1190023762102492,13239
Spain,ESP,2022-03-21,354.45178,80,301.011061542982,348,1.1561036933863917,12963
Spain,ESP,2022-03-22,354.45178,81,296.458029402964,351,1.183978726118088,12767
Spain,ESP,2022-03-23,354.45178,82,295.5673518876612,354,1.1976965579559269,12729
Spain,ESP,2022-03-24,354.45178,83,300.34411461793104,356,1.1853070617110943,12934
