date,daily_avg_cases
2022-07-10,129138.42857142857
2022-07-11,97683.42857142857
2022-07-12,97683.42857142857
2022-07-13,97683.42857142857
2022-07-14,97683.42857142857
2022-07-15,97683.42857142857
2022-07-16,97683.42857142857
2022-07-17,97683.42857142857
2022-07-18,74613.71428571429
2022-07-19,74613.71428571429
2022-07-20,74613.71428571429
2022-07-21,74613.71428571429
2022-07-22,74613.71428571429
2022-07-23,74613.71428571429
2022-07-24,74613.71428571429
2022-07-25,47061.57142857143
2022-07-26,47061.57142857143
2022-07-27,47061.57142857143
2022-07-28,47061.57142857143
2022-07-29,47061.57142857143
2022-07-30,47061.57142857143
2022-07-31,47061.57142857143
2022-08-01,30313.571428571428
2022-08-02,30313.571428571428
2022-08-03,30313.571428571428
2022-08-04,30313.571428571428
