date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
2022-05-03,80695,123,12979.172253515615,81018,6.2421546164513675,355640
2022-05-04,76016,124,13026.376487988664,77707,5.965358061902473,356933
2022-05-05,72330,125,13207.60688912936,74816,5.664614386848384,361899
2022-05-06,70286,126,13508.917138041325,72373,5.3574242302661315,370155
2022-05-07,68697,127,13884.537832500593,70366,5.067939664170092,380447
2022-05-08,67692,128,14260.947383293009,68715,4.8184035851994675,390761
2022-05-09,67335,129,14553.488242660633,67295,4.623977350168065,398777
2022-05-10,67042,130,14692.464063663247,65968,4.489920799816631,402585
2022-05-11,65364,131,14648.516809680135,64626,4.411777713720026,401381
2022-05-12,63550,132,14444.383677190373,63209,4.376026102090844,395787
2022-05-13,61356,133,14145.429408427764,61690,4.361126001819744,387596
2022-05-14,59896,134,13832.309123167277,60049,4.341212986588474,379016
2022-05-15,58912,135,13568.446796832883,58249,4.292974787180236,371786
2022-05-16,58383,136,13376.452460349563,56250,4.205150817583068,366525
2022-05-17,55637,137,13231.281870017034,54041,4.084335934408631,362548
2022-05-18,51811,138,13069.58916073586,51669,3.9533759909780413,358117
2022-05-19,48472,139,12809.78376527379,49235,3.843546534600514,350998
2022-05-20,45500,140,12376.493773660088,46844,3.784916863909743,339126
2022-05-21,43069,141,11723.632106768873,44554,3.8003580796667835,321237
2022-05-22,42168,142,10850.151913712558,42349,3.903078992514271,297303
2022-05-23,41782,143,9803.110713953916,40161,4.096760831521992,268613
2022-05-24,39128,144,8666.039671153269,37930,4.376855107905629,237456
2022-05-25,36066,145,7536.446214661542,35664,4.732203877554197,206505
2022-05-26,33436,146,6501.088445580519,33465,5.14759955661728,178135
2022-05-27,28306,147,5618.029839694738,31502,5.607303787783316,153938
2022-05-28,27256,148,4910.280299574929,29954,6.10026274927585,134546
2022-05-29,26802,149,4370.165957346297,28954,6.625377681899702,119746
2022-05-30,26732,150,3969.92674629823,28558,7.193583616279317,108779
2022-05-31,26708,151,3673.6604153919907,28739,7.8229876336932636,100661
2022-06-01,27402,152,3447.4103950050685,29389,8.524949638308668,94462
2022-06-02,28762,153,3265.984869213021,30338,9.289081613936048,89491
2022-06-03,33630,154,3116.0272344193027,31384,10.071799005264044,85382
2022-06-04,34607,155,2995.3066247797806,32373,10.807908523348628,82074
2022-06-05,34916,156,2908.905949702277,33269,11.436945908617307,79706
2022-06-06,35012,157,2863.961537889007,34188,11.937311150204755,78475
2022-06-07,29650,158,2865.0827629623313,35345,12.336467363845118,78506
2022-06-08,32474,159,2911.9835879438624,36942,12.686197873142742,79791
2022-06-09,37780,160,2999.5622983303338,39070,13.025233722182664,82190
2022-06-10,41907,161,3119.585025491876,41684,13.362033622862239,85479
2022-06-11,45600,162,3262.7857301678177,44641,13.68186687444656,89403
2022-06-12,46596,163,3420.422368002879,47747,13.959387134951578,93722
2022-06-13,47334,164,3584.768285248487,50781,14.16576915416445,98225
2022-06-14,58424,165,3748.5635153826156,53506,14.27373439997285,102714
2022-06-15,61611,166,3904.078906809352,55725,14.273533227724084,106975
2022-06-16,61581,167,4042.857572370921,57364,14.188973757578866,110777
2022-06-17,56717,168,4156.922165672489,58519,14.07748273067149,113903
2022-06-18,58464,169,4241.161831026386,59407,14.007246685426093,116211
2022-06-19,58948,170,4295.3906640718715,60254,14.027594859761006,117697
2022-06-20,59090,171,4324.400744477454,61193,14.150631177775905,118492
2022-06-21,61732,172,4335.781702779301,62239,14.354735608599453,118804
2022-06-22,66162,173,4337.046107401733,63332,14.602565532313735,118838
2022-06-23,70690,174,4333.785133095884,64394,14.85860466598617,118749
