t,date,smoothed_phi
110,2022-04-21,228.36941197678817
111,2022-04-22,245.69124967743525
112,2022-04-23,267.35924439067554
113,2022-04-24,295.7663807801257
114,2022-04-25,329.87938567920725
115,2022-04-26,366.93883863576247
116,2022-04-27,407.113050425232
117,2022-04-28,453.7387198899096
118,2022-04-29,510.43739829955155
119,2022-04-30,578.8536784670586
120,2022-05-01,657.9175486390138
121,2022-05-02,743.9408117413094
122,2022-05-03,830.3591705707479
123,2022-05-04,908.8990616715794
124,2022-05-05,975.1425021089442
125,2022-05-06,1033.8707936400324
126,2022-05-07,1096.92591275945
127,2022-05-08,1174.6597490002991
128,2022-05-09,1265.7315361305723
129,2022-05-10,1351.1113866496428
130,2022-05-11,1401.7029696798986
131,2022-05-12,1398.551742335973
132,2022-05-13,1345.9325010928228
133,2022-05-14,1265.575187318614
134,2022-05-15,1181.462304941172
135,2022-05-16,1108.282709468394
136,2022-05-17,1048.7841486338225
137,2022-05-18,996.6243268517755
138,2022-05-19,938.7765575681634
139,2022-05-20,858.3362139406916
140,2022-05-21,750.3787231793117
141,2022-05-22,644.0024211969633
142,2022-05-23,572.7631151192545
143,2022-05-24,534.7143549937937
144,2022-05-25,512.1141860862515
145,2022-05-26,493.45156308830724
146,2022-05-27,476.2109998638616
147,2022-05-28,463.284720028453
148,2022-05-29,457.83281982688163
149,2022-05-30,460.29608021118247
150,2022-05-31,468.68600900678587
151,2022-06-01,479.3716331254527
152,2022-06-02,486.7236660137291
153,2022-06-03,482.21353894326853
154,2022-06-04,456.71359130844183
155,2022-06-05,411.5345519982797
156,2022-06-06,364.6146335878587
157,2022-06-07,331.64102615697385
158,2022-06-08,313.0696268758301
159,2022-06-09,302.67501253323593
160,2022-06-10,295.4165612728762
161,2022-06-11,289.3056443052262
162,2022-06-12,285.14473728500195
163,2022-06-13,284.83252846223763
164,2022-06-14,288.92879401680915
165,2022-06-15,296.15711346479145
166,2022-06-16,305.1216612680701
167,2022-06-17,315.780162248062
168,2022-06-18,328.8344767268503
169,2022-06-19,342.7103900206927
170,2022-06-20,353.2472014865224
171,2022-06-21,359.0602286284096
172,2022-06-22,362.56542538163393
173,2022-06-23,367.5085095173477
174,2022-06-24,379.0732643119406
175,2022-06-25,404.82153965263194
176,2022-06-26,450.98380575887455
177,2022-06-27,512.0419563892463
178,2022-06-28,570.6808173948534
179,2022-06-29,615.2466207572746
180,2022-06-30,645.8886975593707
