date,cases,t,smoothed_phi,smoothed_cases,case_phi_ratio,min_n_true
2022-05-05,37846.857142857145,125,371.36381564910374,38638,104.04352382168672,484457
2022-05-06,37846.857142857145,126,355.08956666551114,37347,105.17628087670707,463227
2022-05-07,37846.857142857145,127,335.92151410102815,36174,107.68586851844415,438222
2022-05-08,37846.857142857145,128,314.79199284650133,35012,111.2226511335456,410657
2022-05-09,30959.285714285717,129,293.70914446888156,33857,115.27390494165273,383154
2022-05-10,30959.285714285717,130,274.93734784677804,32770,119.19079112621195,358666
2022-05-11,30959.285714285717,131,260.18075430758324,31790,122.18428716836665,339415
2022-05-12,30959.285714285717,132,250.14557709614365,30881,123.45211279962332,326324
2022-05-13,30959.285714285717,133,244.55470673415837,29944,122.4429511084832,319030
2022-05-14,30959.285714285717,134,242.42855948216925,28887,119.15675307275278,316257
2022-05-15,30959.285714285717,135,242.401780191339,27694,114.24833587500818,316222
2022-05-16,23177.0,136,242.97346556693958,26441,108.82258249189545,316968
2022-05-17,23177.0,137,242.7314329106148,25247,104.01207498040495,316652
2022-05-18,23177.0,138,240.63984933990858,24188,100.51535548392889,313923
2022-05-19,23177.0,139,236.4269307812723,23247,98.32636207381425,308427
2022-05-20,23177.0,140,231.00187442403364,22332,96.67454022042584,301350
2022-05-21,23177.0,141,226.7241545336202,21350,94.16729348453288,295770
2022-05-22,23177.0,142,227.30655559488696,20277,89.20552223816334,296530
2022-05-23,16193.57142857143,143,237.2110072443998,19192,80.90686947012698,309450
2022-05-24,16193.57142857143,144,260.5901876260147,18237,69.98344859466765,339949
2022-05-25,16193.57142857143,145,300.046232135274,17555,58.50765022133468,391421
2022-05-26,16193.57142857143,146,355.5920365124467,17237,48.47408892801978,463883
2022-05-27,16193.57142857143,147,424.1417775834687,17301,40.790605675705365,553308
2022-05-28,16193.57142857143,148,499.6649681090395,17702,35.427738844675176,651831
2022-05-29,16193.57142857143,149,573.9288755059687,18345,31.963890967896106,748711
2022-05-30,21153.285714285717,150,637.6479322435634,19106,29.963243090549298,831835
2022-05-31,21153.285714285717,151,681.8967395995672,19874,29.145175282214552,889559
2022-06-01,21153.285714285717,152,699.7216165146118,20595,29.433133854840584,912812
2022-06-02,21153.285714285717,153,687.8067166108638,21291,30.954917254821865,897269
2022-06-03,21153.285714285717,154,647.7478119624343,22040,34.0255877256104,845010
2022-06-04,21153.285714285717,155,586.2267465251182,22911,39.08214719953643,764754
2022-06-05,21153.285714285717,156,513.5991157359779,23916,46.56550073247074,670009
2022-06-06,27687.571428571428,157,441.19926362183355,25001,56.66600572894242,575560
2022-06-07,27687.571428571428,158,378.49420051173524,26098,68.95217935893004,493759
2022-06-08,27687.571428571428,159,331.35397872320726,27204,82.09951214355132,432263
2022-06-09,27687.571428571428,160,302.0020150757157,28416,94.09208740834313,393972
2022-06-10,27687.571428571428,161,290.2811466879358,29897,102.99325444011873,378682
2022-06-11,27687.571428571428,162,295.4462387135363,31761,107.50179165690908,385420
2022-06-12,27687.571428571428,163,317.88472093401765,33984,106.90667956656512,414692
2022-06-13,42561.0,164,360.4729360867959,36389,100.947939101975,470250
2022-06-14,42561.0,165,429.21131689683983,38761,90.30749766860443,559922
2022-06-15,42561.0,166,532.4215497902619,41008,77.02167580586169,694563
2022-06-16,42561.0,167,677.7694360283383,43244,63.803408211213466,884175
2022-06-17,42561.0,168,867.3251126599179,45732,52.727632732492694,1131457
2022-06-18,42561.0,169,1092.6196790061042,48695,44.567200221302215,1425362
2022-06-19,42561.0,170,1332.9160860058332,52142,39.118741642804224,1738837
2022-06-20,65243.57142857143,171,1559.101089318263,55848,35.82064074140328,2033903
2022-06-21,65243.57142857143,172,1742.51936041836,59518,34.15629194829168,2273179
2022-06-22,65243.57142857143,173,1864.6934867918262,63043,33.80877363843021,2432560
2022-06-23,65243.57142857143,174,1922.929663604505,66623,34.64661306181949,2508531
2022-06-24,65243.57142857143,175,1929.180425139529,70651,36.622287412485086,2516685
2022-06-25,65243.57142857143,176,1903.4051068507226,75401,39.61374261769985,2483060
2022-06-26,65243.57142857143,177,1865.3559624685731,80765,43.2973660925914,2433424
2022-06-27,104512.28571428572,178,1828.8246800038964,86262,47.167998629489304,2385768
2022-06-28,104512.28571428572,179,1800.2077047971566,91296,50.714148015651915,2348436
2022-06-29,104512.28571428572,180,1780.4123596384084,95444,53.60780578909491,2322612
2022-06-30,104512.28571428572,181,1767.7220986231289,98567,55.7593300874461,2306057
